Helység,Törzskörméret (cm),Megye,GPS adat,Mérés éve,Faj,"Megjegyzés, újabb mérés, nyomravezető",lat,lon
Kisbodak,757,Győr-Moson-Sopron,"47,53,18-17,25,26",2013,fekete nyár,Szél Győző; hármas törzsű,47.888333,17.423889
Tiszanagyfalu,757,Borsod-Abaúj-Zemplén,"48,05,08-21,26,18",2024,fehér nyár,"Lazó Ildikó, Maros László, Torma Zoltánné, Torma Zoltán; magasság: 33 m/2024",48.085556,21.438333
Gibárt,756,Borsod-Abaúj-Zemplén,"48,19,43-21,09,54",2003,szürke nyár,Molnár Zoltán és Bence 2007: a fa összetört.,48.328611,21.165
Nagybajcs,755,Győr-Moson-Sopron,"47,46,13-17,41,23",2021,fekete nyár,Szél Győző,47.770278,17.689722
Csongrád,755,Csongrád,"46,45,02-20,05,50",2023,fekete nyár,,46.750556,20.097222
Dunapataj,754,Bács-Kiskun,"46,39,27-18,58,26",2018,fekete nyár,Szél Győző,46.6575,18.973889
Szegvár,753,Csongrád,"46,34,57-20,09,47",2025,fekete nyár,,46.5825,20.163056
Nagyszentjános,753,Győr-Moson-Sopron,"47,44,30-17,51,56",2023,fekete nyár,Vissi Géza; magasság: 42 m/2023,47.741667,17.865556
Gemenc,753,Tolna,"46,16,35-18,51,28",2012,fekete nyár,Kalotás Zsolt,46.276389,18.857778
Vejti,752,Baranya,"45,47,35-17,58,56",2024,fekete nyár,"Kétfelé ágazik, a partoldal magasabb felén alacsonyan.",45.793056,17.982222
Gemenc,752,Bács-Kiskun,"46,10,49-18,54,41",2014,fekete nyár,"Sütő Krisztián, Molnár Bence",46.180278,18.911389
Hódmezővásárhely,751,Csongrád,"46,24,19-20,12,51",2016,fekete nyár,,46.405278,20.214167
Dunakiliti,751,Győr-Moson-Sopron,"47,57,59-17,20,35",2009,fekete nyár,Bocz József; 806/2021; magasság: 38 m/2021,47.966389,17.343056
Ásványráró,751,Győr-Moson-Sopron,"47,48,18-17,35,13",2021,fekete nyár,Szél Győző,47.805,17.586944
Csongrád,750,Csongrád,"46,43,05-20,10,18",2026,fekete nyár,,46.718056,20.171667
Gemenc,750,Bács-Kiskun,"46,12,41-18,54,09",2013,fekete nyár,Barkuti Balázs; 756/2014,46.211389,18.9025
Tököl,749,Pest,"47,18,45-18,56,23",2016,fekete nyár,Baranyai László,47.3125,18.939722
Fajsz,748,Bács-Kiskun,"46,22,59-18,54,14",2017,fekete nyár,"Szombathelyi Gergely, Elblinger Ferenc; magasság: 34 m/2017",46.383056,18.903889
Kölked,746,Baranya,"45,55,45-18,46,00",2018,fekete nyár,Szél Győző,45.929167,18.766667
Madocsa,746,Tolna,"46,39,17-18,57,32",2024,fekete nyár,Tarczal János (Madocsáért Környezetvédelmi és Kulturális Értékőrző Egyesület),46.654722,18.958889
Drávapalkonya,746,Baranya,"45,47,35-18,09,49",2011,fekete nyár,,45.793056,18.163611
Sátoraljaújhely,746,Borsod-Abaúj-Zemplén,"48,20,49-21,38,50",2007,fehér nyár,"Molnár Bence és Zoltán, Long-erdőben, Mária-fa; Szél Győző magasságadata: 32 m/2011; 2024: kidőlve",48.346944,21.647222
Maroslele,746,Csongrád,"46,14,26-20,20,32",2000,fekete nyár,2007: kidőlve találtuk,46.240556,20.342222
Hódmezővásárhely,745,Csongrád,"46,24,37-20,13,13",2016,fekete nyár,Másfél méteren háromfelé ágazik. 753/2019febr,46.410278,20.220278
Budapest,745,Pest,"47,33,18-19,03,08",2010,fekete nyár,"Bőle György; 2019: egyik fele kitört, alig van élet a maradékban (Bőle György).",47.555,19.052222
Báta,745,Tolna,"46,11,55-18,51,11",2019,fekete nyár,Torma Zoltán,46.198611,18.853056
Gemenc,744,Bács-Kiskun,"46,10,59-18,54,36",2014,fekete nyár,Tóth Gábor,46.183056,18.91
Szegvár,744,Csongrád,"46,36,34-20,10,11",2025,fekete nyár,,46.609444,20.169722
Budapest,743,Pest,"47,27,29-19,16,20",2012,fekete nyár,"Baranyai László, Szél Győző; 30 m magas (2012)",47.458056,19.272222
Dunapataj,743,Bács-Kiskun,"46,39,37-18,58,52",2018,fekete nyár,Szél Győző,46.660278,18.981111
Ásványráró,743,Győr-Moson-Sopron,"47,48,20-17,35,15",2021,fekete nyár,Szél Győző,47.805556,17.5875
Mártély,742,Csongrád,"46,27,58-20,12,45",2020,fekete nyár,756/2025; magasság: 33 m/2025,46.466111,20.2125
Gemenc,742,Tolna,"46,10,15-18,48,25",2012,fekete nyár,Elblinger Ferenc,46.170833,18.806944
Fadd,741,Tolna,"46,27,14-18,50,43",2020,fekete nyár,Elblinger Ferenc,46.453889,18.845278
Csányoszró,740,Baranya,"45,53,21-17,55,04",2020,szürke nyár,"Torma Zoltánné, Torma Zoltán",45.889167,17.917778
Barcs,740,Somogy,"45,57,15-17,25,10",2010,fekete nyár,Szél Győző; 2022: nincsen meg (Szél Győző),45.954167,17.419444
Torony,740,Vas,"47,14,11-16,32,02",2006,szürke nyár,"780/2018, 786/2025; magasság: 31 m/2025",47.236389,16.533889
Harta,740,Bács-Kiskun,"46,41,12-19,00,16",2018,fekete nyár,Szél Győző,46.686667,19.004444
Dunaszentbenedek,740,Bács-Kiskun,"46,36,44-18,52,02",2020,fekete nyár,Baranyai László,46.612222,18.867222
Gemenc,738,Bács-Kiskun,"46,14,09-18,53,14",2011,fekete nyár,Elblinger Ferenc,46.235833,18.887222
Algyő,738,Csongrád,"46,18,48-20,13,58",2024,fekete nyár,többtörzsű,46.313333,20.232778
Kisköre,738,Heves,"47,28,41-20,30,30",2025,fekete nyár,Baranyai László,47.478056,20.508333
Felgyő,737,Csongrád,"46,37,29-20,10,16",2022,fekete nyár,,46.624722,20.171111
Barcs,737,Somogy,"45,57,54-17,26,31",2012,fekete nyár,"Lukács Róbert, Szél Győző, Zombori Zoltán",45.965,17.441944
Csongrád**,736,Csongrád,"46,45,06-20,06,08",2023,fekete nyár,1 m-en négyfelé ágazik.,46.751667,20.102222
Szegvár,735,Csongrád,"46,34,27-20,08,36",2007,fekete nyár,Őze Péter; 2025: már nincsen nyoma,46.574167,20.143333
Makád,734,Pest,"47,05,43-18,53,46",2026,fekete nyár,Baranyai László,47.095278,18.896111
Verőce,734,Pest,"47,49,03-19,03,38",2014,fekete nyár,Szél Győző,47.8175,19.060556
Baks,734,Csongrád,"46,32,35-20,09,49",2017,fekete nyár,Lestyán Csaba,46.543056,20.163611
Tahitótfalu,734,Pest,"47,46,44-19,06,59",2011,szürke nyár,Baranyai László,47.778889,19.116389
Kisköre,734,Heves,"47,28,46-20,30,33",2025,fekete nyár,Baranyai László,47.479444,20.509167
Szentes,733,Csongrád,"46,39,28-20,11,52",2025,fekete nyár,,46.657778,20.197778
Szentes,733,Csongrád,"46,42,30-20,11,51",2025,fekete nyár,,46.708333,20.1975
Gemenc,732,Bács-Kiskun,"46,15,49-18,53,04",2018,fekete nyár,"Szombathelyi Gergely, Szutorcsik Dávid, Torma Zoltán, Elblinger Ferenc, Veránka-szigeten",46.263611,18.884444
Gemenc,732,Tolna,"46,16,23-18,53,16",2017,fekete nyár,Elblinger Ferenc; magasság: 33 m/2017,46.273056,18.887778
Előszállás,732,Fejér,"46,50,14-18,49,37",2008,fekete nyár,"935/2024 legalul (magasabb szintre töltődhetett a talaj, emiatt is van a nagy gyarapodás); mellmagasságban 1000/2024",46.837222,18.826944
Bezenye,732,Győr-Moson-Sopron,"47,58,31-17,13,57",2021,fekete nyár,Szél Győző; magasság: 23 m/2021,47.975278,17.2325
Drávakeresztúr (Révfalu),731,Baranya,"45,49,30-17,45,30",2010,fekete nyár,Szél Győző,45.825,17.758333
Békéscsaba,731,Békés,"46,42,56-21,07,17",2002,fehér nyár,"755/2012; 754/2014 - töredezik; 758/2018 - két főága közül az egyik letörött; 763/2024 - összetörve, de még van élő ága",46.715556,21.121389
Gemenc,731,Bács-Kiskun,"46,13,49-18,52,29",2018,fekete nyár,"Szutorcsik Dávid, Torma Zoltán, Elblinger Ferenc, Veránka-szigeten",46.230278,18.874722
Algyő,731,Csongrád,"46,21,54-20,11,43",2020,fekete nyár,,46.365,20.195278
Ácsteszér,731,Komárom-Esztergom,"47,24,51-18,00,06",2019,fekete nyár,"Tóth Sándor, Szél Győző, Kéri Salamon, Torma Zoltánné, Torma Zoltán; magasság: 29 m/2019",47.414167,18.001667
Szentes,730,Csongrád,"46,38,06-20,11,20",2025,fekete nyár,,46.635,20.188889
Dunapataj,730,Bács-Kiskun,"46,39,17-18,58,21",2018,fekete nyár,Szél Győző; magasság: 37 m/2018,46.654722,18.9725
Ráckeve,730,Pest,"47,10,37-18,52,55",2019,fekete nyár,Baranyai László,47.176944,18.881944
Szegvár,730,Csongrád,"46,34,40-20,08,43",2025,fekete nyár,,46.577778,20.145278
Vejti,730,Baranya,"45,48,01-17,59,19",2026,fekete nyár,,45.800278,17.988611
Lórév,729,Pest,"47,06,51-18,53,20",2015,fekete nyár,Baranyai László; 2026: kidőlt,47.114167,18.888889
Csongrád,728,Csongrád,"46,43,05-20,09,26",2026,fekete nyár,magasság: 40 m/2026,46.718056,20.157222
Szekszárd,728,Tolna,"46,20,10-18,47,41",2009,fekete nyár,Elblinger Ferenc; 2023: kivágták,46.336111,18.794722
Tiszatarján,728,Borsod-Abaúj-Zemplén,"47,49,56-21,03,50",2019,fekete nyár,"Török Tamás, Kecskeméti Zoltán; magasság: 35 m/2019",47.832222,21.063889
Mindszent,727,Csongrád,"46,33,20-20,09,27",2025,fekete nyár,,46.555556,20.1575
Szegvár,727,Csongrád,"46,34,11-20,08,40",2025,fekete nyár,,46.569722,20.144444
Barcs,726,Somogy,"45,57,01-17,22,38",2023,fekete nyár,Szél Győző,45.950278,17.377222
Ercsi,726,Fejér,"47,10,59-18,52,27",2021,szürke nyár,"Baranyai László; 1,5 m-en kétfelé ágazik",47.183056,18.874167
Baks,726,Csongrád,"46,33,10-20,08,54",2017,fekete nyár,hatágú; 742/2022,46.552778,20.148333
Csongrád,725,Csongrád,"46,44,20-20,07,27",2022,fekete nyár,,46.738889,20.124167
Gemenc,725,Bács-Kiskun,"46,12,45-18,50,34",2009,fekete nyár,kisvasút mellett,46.2125,18.842778
Rábahídvég,724,Vas,"47,03,53-16,44,33",2018,fekete nyár,"Torma Zoltánné, Torma Zoltán",47.064722,16.7425
Lórév,724,Pest,"47,07,03-18,53,15",2026,fekete nyár,Baranyai László,47.1175,18.8875
Ásványráró,723,Győr-Moson-Sopron,"47,49,06-17,32,50",2021,fekete nyár,Szél Győző,47.818333,17.547222
Iváncsa,723,Fejér,"47,09,04-18,52,12",2021,fekete nyár,"Baranyai László; 1,5 m-en kétfelé ágazik",47.151111,18.87
Kisrozvágy,723,Borsod-Abaúj-Zemplén,"48,21,02-21,56,56",2017,fekete nyár,"Torma Zoltánné, Torma Zoltán; magasság: 34 m/2017",48.350556,21.948889
Budapest,723,Pest,"47,32,31-19,03,44",2021,fekete nyár,Csarnogurszky István; magasság: 29 m/2021,47.541944,19.062222
Madaras,723,Bács-Kiskun,"46,04,51-19,16,17",2022,fekete nyár,"Torma Zoltánné, Torma Zoltán",46.080833,19.271389
Ráckeve,723,Pest,"47,10,05-18,52,44",2019,fekete nyár,Baranyai László,47.168056,18.878889
Gemenc,722,Bács-Kiskun,"46,09,32-18,52,10",2017,fekete nyár,"Badari Tibor, Csontos Péter; Bajához tartozik",46.158889,18.869444
Barcs/Kisbók,722,Somogy,"45,56,40-17,31,23",2009,szürke nyár,"Szél Győző, Gujzer Tibor; 754/2016",45.944444,17.523056
Békés,721,Békés,"46,49,35-21,06,44",2026,szürke nyár,Varga Zoltán,46.826389,21.112222
Békés,720,Békés,"46,48,35-21,07,08",2026,fekete nyár,Varga Zoltán,46.809722,21.118889
Gemenc,720,Tolna,"46,16,25-18,54,22",2017,fekete nyár,Elblinger Ferenc; magasság: 38 m/2017,46.273611,18.906111
Gemenc,720,Bács-Kiskun,"46,13,19-18,53,07",2010,fekete nyár,"Elblinger Ferenc, Kovács Attila",46.221944,18.885278
Csongrád,719,Csongrád,"46,40,37-20,12,21",2019,fekete nyár,magasság: 21 m/2019,46.676944,20.205833
Hódmezővásárhely,719,Csongrád,"46,26,35-20,11,54",2006,fekete nyár,725/2008; 730/2009; 747/2013; 754/2016febr; 758/2020nov; magasság: 41 m/2019; 770/2025jan; 770/2025aug,46.443056,20.198333
Solt,718,Bács-Kiskun,"46,49,07-18,56,40",2021,fekete nyár,magasság: 30 m/2021,46.818611,18.944444
Dunapataj,718,Bács-Kiskun,"46,39,30-18,58,49",2018,fekete nyár,Szél Győző,46.658333,18.980278
Gemenc,718,Bács-Kiskun,"46,10,39-18,52,42",2013,fekete nyár,"Szombathelyi Gergely, Fekete Adrien",46.1775,18.878333
Tura,716,Pest,"47,34,13-19,37,43",2014,fekete nyár,"Vörös József, Torma Zoltán, Torma Zoltánné",47.570278,19.628611
Tiszabura (Pusztataskony),716,Jász-Nagykun-Szolnok,"47,27,49-20,29,46",2025,fekete nyár,Szél Győző,47.463611,20.496111
Felgyő,715,Csongrád,"46,38,11-20,10,32",2022,fekete nyár,,46.636389,20.175556
Barcs,715,Somogy,"45,58,07-17,23,21",2010,fehér nyár,Szél Győző,45.968611,17.389167
Gemenc,714,Tolna,"46,20,59-18,53,28",2011,fekete nyár,Elblinger Ferenc,46.349722,18.891111
Gemenc,713,Bács-Kiskun,"46,15,10-18,54,17",2018,fekete nyár,"Elblinger Ferenc, Veránka-szigeten",46.252778,18.904722
Barcs,713,Somogy,"45,56,57-17,22,24",2023,fehér nyár,Szél Győző,45.949167,17.373333
Szeged,713,Csongrád,"46,16,48-20,13,55",2020,fekete nyár,,46.28,20.231944
Szarvas,712,Békés,"46,54,59-20,36,00",2024,fekete nyár,négy törzs összenőve,46.916389,20.6
Gemenc,712,Bács-Kiskun,"46,10,39-18,53,31",2012,fekete nyár,Elblinger Ferenc,46.1775,18.891944
Tárnok,712,Pest,"47,21,04-18,50,30",2009,fekete nyár,Baranyai László,47.351111,18.841667
Rum,711,Vas,"47,07,20-16,50,50",2006,fekete nyár,785/2018,47.122222,16.847222
Csongrád,711,Csongrád,"46,43,04-20,11,15",2026,fekete nyár,,46.717778,20.1875
Gemenc,711,Bács-Kiskun,"46,10,30-18,52,22",2014,fekete nyár,Tóth Gábor,46.175,18.872778
Gerjen,710,Tolna,"46,29,56-18,54,18",2016,fekete nyár,"Szombathelyi Gergely, Elblinger Ferenc",46.498889,18.905
Baja,710,Bács-Kiskun,"46,10,12-18,55,29",2010,fekete nyár,Nebojszki László,46.17,18.924722
Jászberény,710,Jász-Nagykun-Szolnok,"47,29,52-19,50,26",2012,fekete nyár,"Mizsei Tibor, Lesti Szabolcs",47.497778,19.840556
Hódmezővásárhely,710,Csongrád,"46,27,36-20,12,38",2025,fekete nyár,,46.46,20.210556
Helesfa,709,Baranya,"46,03,52-17,58,53",2011,szürke nyár,Lukács Róbert; 2017: elpusztult (Takács Márton),46.064444,17.981389
Kisköre,709,Heves,"47,28,41-20,30,33",2025,fekete nyár,Baranyai László,47.478056,20.509167
Szentes,709,Csongrád,"46,38,34-20,11,12",2025,fekete nyár,magasság: 36 m/2025,46.642778,20.186667
Gemenc,708,Bács-Kiskun,"46,10,38-18,53,24",2008,fekete nyár,746/2012,46.177222,18.89
Gemenc,708,Bács-Kiskun,"46,10,32-18,53,14",2013,fekete nyár,,46.175556,18.887222
Szentes**,707,Csongrád,"46,38,03-20,11,10",2025,szürke nyár,,46.634167,20.186111
Csongrád,707,Csongrád,"46,39,37-20,11,22",2019,fekete nyár,"Olajos Sándor, Lestyán Csaba; magasság: 31 m/2019",46.660278,20.189444
Gemenc,707,Tolna,"46,18,03-18,52,01",2012,fekete nyár,Elblinger Ferenc,46.300833,18.866944
Tiszabura (Pusztataskony),706,Jász-Nagykun-Szolnok,"47,27,53-20,29,56",2025,fekete nyár,Szél Győző,47.464722,20.498889
Csongrád,706,Csongrád,"46,40,09-20,13,09",2023,fekete nyár,,46.669167,20.219167
Csikéria,706,Bács-Kiskun,"46,06,55-19,28,52",2011,szürke nyár,Aklan Richárd; 2015: kivágták,46.115278,19.481111
Szekszárd,705,Tolna,"46,20,22-18,46,04",2009,fekete nyár,Elblinger Ferenc,46.339444,18.767778
Szegvár,705,Csongrád,"46,36,14-20,10,07",2025,fekete nyár,,46.603889,20.168611
Barcs,705,Somogy,"45,57,04-17,25,38",2010,fekete nyár,Lukács Róbert,45.951111,17.427222
Algyő**,704,Csongrád,"46,21,17-20,11,55",2024,fekete nyár,"1,5 m-en kétfelé ágazik",46.354722,20.198611
Koppánymonostor,704,Komárom-Esztergom,"47,45,02-18,01,48",2021,fekete nyár,"Szél Győző; Lubastyik Zsolt, Lubastyik Nikolett, Ujfalusi Máté; magasság: 31 m/2021",47.750556,18.03
Szentes,703,Csongrád,"46,38,19-20,11,20",2025,fekete nyár,,46.638611,20.188889
Szentes,703,Csongrád,"46,42,28-20,11,47",2025,fekete nyár,,46.707778,20.196389
Verőce,703,Pest,"47,49,18-19,00,59",2014,fekete nyár,Szél Győző; Kismaros szélén,47.821667,19.016389
Szentes,702,Csongrád,"46,39,01-20,11,34",2025,fekete nyár,,46.650278,20.192778
Hajós,702,Bács-Kiskun,"46,23,30-19,08,53",2019,fekete nyár,Elblinger Ferenc,46.391667,19.148056
Dóc,702,Csongrád,"46,28,45-20,11,42",2021,fekete nyár,,46.479167,20.195
Szegvár,701,Csongrád,"46,36,14-20,10,04",2025,fekete nyár,,46.603889,20.167778
Dad,701,Komárom-Esztergom,"47,32,06-18,13,21",2020,fekete nyár,Szél Győző,47.535,18.2225
Lórév,700,Pest,"47,06,50-18,53,18",2015,fekete nyár,"Baranyai László; 2026: összetört, elszáradt",47.113889,18.888333
Drávakeresztúr (Révfalu),700,Baranya,"45,49,47-17,45,40",2010,fekete nyár,Szél Győző,45.829722,17.761111
Hódmezővásárhely**,700,Csongrád,"46,25,07-20,12,08",2022,fekete nyár,Albert András; alacsonyan elágazó,46.418611,20.202222
Dunaszentbenedek,700,Bács-Kiskun,"46,36,52-18,52,09",2020,fekete nyár,Baranyai László,46.614444,18.869167
Letenye,700,Zala,"46,24,55-16,42,48",2014,feket nyár,Márfi József; 3-4 m magasan 5 főágra bomlik,46.415278,16.713333
Kölked,700,Baranya,"45,56,07-18,46,07",2018,fekete nyár,magasság: 36 m/2018,45.935278,18.768611
Szegvár,699,Csongrád,"46,35,40-20,09,58",2025,fekete nyár,magasság: 38 m/2025,46.594444,20.166111
Szekszárd,699,Tolna,"46,20,04-18,48,20",2009,fekete nyár,Elblinger Ferenc; 2023: kivágták,46.334444,18.805556
Kisköre,698,Heves,"47,28,06-20,27,50",2025,fekete nyár,Szél Győző,47.468333,20.463889
Tiszadob,698,Szabolcs-Szatmár-Bereg,"48,01,12-21,09,52",2016,szürke nyár,,48.02,21.164444
Gemenc,698,Tolna,"46,11,47-18,50,28",2003,fekete nyár,,46.196389,18.841111
Gemenc,698,Bács-Kiskun,"46,12,23-18,52,01",2010,fekete nyár,"Elblinger Ferenc, Kovács Attila",46.206389,18.866944
Békés,697,Békés,"46,49,49-21,06,22",2026,fekete nyár,Varga Zoltán,46.830278,21.106111
Matty,697,Baranya,"45,45,47-18,16,14",2008,fekete nyár,,45.763056,18.270556
Hajmáspuszta,696,Komárom-Esztergom,"47,23,30-17,54,44",2010,fekete nyár,"Jandala Attila, Baracs Zsolt",47.391667,17.912222
Kölked,696,Baranya,"45,56,50-18,45,15",2018,fekete nyár,magasság: 44 m/2018,45.947222,18.754167
Gyúró,696,Fejér,"47,23,26-18,43,57",2010,fekete nyár,"Szél Győző, magasság 40 m/2010",47.390556,18.7325
Kisköre,696,Heves,"47,28,01-20,28,44",2025,fekete nyár,Baranyai László,47.466944,20.478889
Gemenc,695,Tolna,"46,18,33-18,54,54",2011,fekete nyár,Elblinger Ferenc; 718/2015,46.309167,18.915
Lakitelek,695,Bács-Kiskun,"46,51,58-20,01,47",2026,fekete nyár,"Balczó Tamás, Buzás Csobán",46.866111,20.029722
Ásványráró,695,Győr-Moson-Sopron,"47,48,09-17,36,06",2010,fekete nyár,Szél Győző,47.8025,17.601667
Marcali,695,Somogy,"46,33,00-17,26,11",2015,fekete nyár,Sólyom Attila,46.55,17.436389
Gemenc,694,Bács-Kiskun,"46,13,37-18,51,36",2004,fekete nyár,,46.226944,18.86
Bérbaltavár,694,Vas,"47,01,22-16,57,22",2022,fekete nyár,,47.022778,16.956111
Hajós,694,Bács-Kiskun,"46,23,21-19,09,20",2019,fekete nyár,Elblinger Ferenc,46.389167,19.155556
Harta,694,Bács-Kiskun,"46,41,18-19,00,26",2018,fekete nyár,Szél Győző,46.688333,19.007222
Ráckeve,693,Pest,"47,10,36-18,52,54",2019,fekete nyár,Baranyai László,47.176667,18.881667
Szigetbecse,692,Pest,"47,06,07-18,59,40",2004,fekete nyár,,47.101944,18.994444
Szentes,692,Csongrád,"46,42,07-20,11,38",2025,szürke nyár,"Többtörzsű, másfél méterig egyben van.",46.701944,20.193889
Cún,692,Baranya,"45,47,01-18,05,04",2025,szürke nyár,Torma Zoltán,45.783611,18.084444
Gemenc,692,Bács-Kiskun,"46,13,22-18,52,40",2010,fekete nyár,"Elblinger Ferenc, Kovács Attila",46.222778,18.877778
Gemenc,692,Bács-Kiskun,"46,11,21-18,55,09",2010,fekete nyár,Elblinger Ferenc,46.189167,18.919167
Báta,691,Tolna,"46,08,27-18,48,08",2012,fekete nyár,Kovács Csaba,46.140833,18.802222
Ásványráró,690,Győr-Moson-Sopron,"47,48,28-17,33,52",2010,fekete nyár,Szél Győző; 749/2021,47.807778,17.564444
Szeged,690,Csongrád,"46,12,16-20,07,13",2021,fekete nyár,"Palotás Csilla, Jávorszky Zoltán. Két törzs összenőve, egy harmadik törzs az egyik oldalon 130 cm alatt kapcsolódik. Együtt 968 cm.",46.204444,20.120278
Hódmezővásárhely,690,Csongrád,"46,22,19-20,12,32",2024,fekete nyár,,46.371944,20.208889
Gemenc,688,Bács-Kiskun,"46,14,38-18,52,38",2018,fekete nyár,"Szutorcsik Dávid, Torma Zoltán, Elblinger Ferenc, Veránka-szigeten",46.243889,18.877222
Mártély,688,Csongrád,"46,28,26-20,12,09",2020,fekete nyár,,46.473889,20.2025
Barcs,688,Somogy,"45,57,06-17,25,39",2010,fekete nyár,Lukács Róbert,45.951667,17.4275
Hódmezővásárhely,687,Csongrád,"46,27,22-20,12,56",2025,fekete nyár,,46.456111,20.215556
Nádasdladány,687,Fejér,"47,08,35-18,13,55",2025,kanadai nyár,Baranyai László,47.143056,18.231944
Szarvas,687,Békés,"46,54,42-20,35,30",2024,fekete nyár,"Balczó Tamás, Buzás Csobán",46.911667,20.591667
Felgyő,687,Csongrád,"46,38,12-20,10,43",2022,fekete nyár,692/2023,46.636667,20.178611
Barcs,687,Somogy,"45,57,42-17,22,16",2005,fekete nyár,"Fenyősi László, Stix József; 692/2010; Takács Márton 2017: kidőlt",45.961667,17.371111
Szentes,687,Csongrád,"46,37,22-20,10,50",2025,fekete nyár,,46.622778,20.180556
Kenyeri,686,Vas,"47,22,22-17,02,00",2019,szürke nyár,Teket Attila; magasság: 32 m/2019,47.372778,17.033333
Kenyeri,686,Vas,"47,22,53-17,01,56",2019,fekete nyár,Teket Attila,47.381389,17.032222
Gemenc,686,Bács-Kiskun,"46,13,50-18,52,35",2018,fekete nyár,"Szutorcsik Dávid, Torma Zoltán, Elblinger Ferenc, Veránka-szigeten",46.230556,18.876389
Szank,686,Bács-Kiskun,"46,33,12-19,38,13",2011,szürke nyár,Bazsa Sándor; mellmagasságban háromfelé ágazik.,46.553333,19.636944
Gemenc,685,Bács-Kiskun,"46,11,58-18,53,56",2011,fekete nyár,Elblinger Ferenc,46.199444,18.898889
Tiszacsege,685,Hajdú-Bihar,"47,42,51-20,57,03",2010,fekete nyár,Tóth István; mellmagasságban 850 cm; 2022: kivágták (Takács Márton),47.714167,20.950833
Gemenc,685,Tolna,"46,10,17-18,49,36",2003,fekete nyár,Címer-fok. Szalai János,46.171389,18.826667
Szelevény,685,Jász-Nagykun-Szolnok,"46,48,08-20,13,06",2025,fekete nyár,"Balczó Tamás, Buzás Csobán",46.802222,20.218333
Kölked**,684,Baranya,"45,55,48-18,46,16",2018,fekete nyár,Szél Győző,45.93,18.771111
Rum,683,Vas,"47,07,23-16,50,51",2006,fekete nyár,2018-ban már nincsen meg (Takács Márton),47.123056,16.8475
Vejti,683,Baranya,"45,47,54-17,58,10",2016,fekete nyár,Lukács Róbert,45.798333,17.969444
Szaporca,682,Baranya,"45,48,14-18,06,58",2024,fekete nyár,"Torma Zoltánné, Torma Zoltán",45.803889,18.116111
Szegvár,682,Csongrád,"46,34,29-20,09,05",2025,fekete nyár,,46.574722,20.151389
Kölked,682,Baranya,"45,56,28-18,45,58",2018,fehér nyár,Szél Győző; magasság: 37 m/2018,45.941111,18.766111
Köröstarcsa,681,Békés,"46,54,46-20,59,24",2008,fekete nyár,729/2018,46.912778,20.99
Miskolc,680,Borsod-Abaúj-Zemplén,"48,07,47-20,47,45",2022,fekete nyár,,48.129722,20.795833
Dunapataj,680,Bács-Kiskun,"46,39,58-18,59,06",2018,fekete nyár,"Szél Győző; magasság: 34,5 m/2018",46.666111,18.985
Dunapataj,680,Bács-Kiskun,"46,40,07-18,59,17",2018,fekete nyár,Szél Győző,46.668611,18.988056
Felgyő,680,Csongrád,"46,38,13-20,11,02",2022,fekete nyár,,46.636944,20.183889
Kéleshalom,680,Bács-Kiskun,"46,23,15-19,16,36",2023,fekete nyár,Takács Márton,46.3875,19.276667
Baks,680,Csongrád,"46,30,26-20,10,53",2021,fekete nyár,,46.507222,20.181389
Fadd,680,Tolna,"46,27,25-18,50,21",2020,fekete nyár,Elblinger Ferenc,46.456944,18.839167
Gyulakeszi,679,Veszprém,"46,52,49-17,28,47",2025,szürke nyár,Nagy Olga,46.880278,17.479722
Lórév,678,Pest,"47,07,09-18,53,15",2026,fekete nyár,Baranyai László,47.119167,18.8875
Gelse,678,Zala,"46,34,49-16,59,17",2018,fekete nyár,"Torma Zoltánné, Torma Zoltán",46.580278,16.988056
Tiszabura (Pusztataskony),678,Jász-Nagykun-Szolnok,"47,27,43-20,29,14",2025,szürke nyár,Szél Győző,47.461944,20.487222
Cún,678,Baranya,"45,47,20-18,05,19",2025,fekete nyár,Torma Zoltán,45.788889,18.088611
Vejti,678,Baranya,"45,47,48-17,59,12",2016,fekete nyár,Lukács Róbert,45.796667,17.986667
Pécs,677,Baranya,"46,02,45-18,12,45",2010,fekete nyár,"Bíró László, Szabó Zsolt",46.045833,18.2125
Barcs,677,Somogy,"45,56,32-17,24,45",2011,fekete nyár,Lukács Róbert,45.942222,17.4125
Szentes,677,Csongrád,"46,43,03-20,11,21",2025,fekete nyár,,46.7175,20.189167
Nagyszentjános,677,Győr-Moson-Sopron,"47,44,29-17,51,40",2023,fekete nyár,,47.741389,17.861111
Börzsöny (Kemence),677,Pest,"47,59,47-18,54,05",2009,fekete nyár,Karcagi Ildikó; Szük Bendegúz,47.996389,18.901389
Baja,677,Bács-Kiskun,"46,11,34-18,54,11",2020,fekete nyár,"Torma Zoltánné, Torma Zoltán",46.192778,18.903056
Szaporca,676,Baranya,"45,47,25-18,05,52",2024,fekete nyár,"Wágner László, Torma Zoltánné, Torma László",45.790278,18.097778
Iváncsa,676,Fejér,"47,09,04-18,52,12",2021,fekete nyár,Baranyai László,47.151111,18.87
Rákóczifalva,676,Jász-Nagykun-Szolnok,"47,04,11-20,10,55",2011,fekete nyár,"Drinóczi Gábor, Szél Győző; 2013-ban kidőlt (Takács Márton)",47.069722,20.181944
